Text,Language
Se bato mwen ki flote sou dlo a ki te ranpli avèk èèl,Haitian Creole
Pronto recuperacion,Papiamento
Ta fest ti koku,Cape Verdean Creole
tabata katibu òf por lo ménos a biba den tempu di sklabitut!,Papiamento
Nha nomi e ...,Cape Verdean Creole
Kel é seu nome?,Cape Verdean Creole
" Pon toppa dat, shi study Jamaican folklore an den she learn more bout oral tradition, proverbs, and riddles dat shi big up in har work, chat bout.",Jamaican Creole
Modi bu sta?,Cape Verdean Creole
Ki non ou?,Haitian Creole
N bèlantre,Haitian Creole
Ki bagay yo te plante sou tè a?,Haitian Creole
kuida mata i kushiná kuminda krioyo.,Papiamento
Mas importante: Kiko eksaktamente nos ta skirbiendo ora nos ta hasiendo tur e skirbimentu aki? Mi no ta bai pretendé di inventá un término kompletamente nobo aki; ,Papiamento
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
" Nos no tin tempu pa traha karta i post nan mas–muchu ménos paga gastunan di post, kiko ku tur e bankonan kinda-sorta ta pèrdè nos sèn e dianan aki–p’esei nos ta blast algun email. ",Papiamento
Mi cyan ‘elp yuh wit dat problem.,Jamaican Creole
"Even doe Miss Lou mek Jamaicans proud, mi mudda pine dat “patois can take you very far if you’re an artist, poet or musician, but it will not take you anywhere if you want to be a lawyer or politician ",Jamaican Creole
A demen ,Haitian Creole
Suzanna Fransiska (Tanchi Chu) ta un di mi welanan ku a kuida mi hopi den mi bida. Dia ku el a bai sosegá i mi tabata atendiendo su,Papiamento
Bon pasco di resureccion,Papiamento
Da-n lisensa,Cape Verdean Creole
E meneer lo paga pa tur cos,Papiamento
Moki bu tchoma?,Cape Verdean Creole
"Papa Bubu, di Banda Bou, tabata manera un tawela pa mi i el a konta mi mashá kos di pasado. Su mayornan a kont'é di tempu di katibu. Hopi di loke ta skibí aki ta kosnan ku el a konta mi personalmente.",Papiamento
Porfabor Bo por bisami un biaha mas e mesun cos,Papiamento
Suzanna Fransiska (Tanchi Chu) ta un di mi welanan ku a kuida mi hopi den mi bida. Dia ku el a bai sosegá i mi tabata atendiendo su,Papiamento
Kuma ku bu nome?,Cape Verdean Creole
"Di way shi talk wid di children, an nuh tap wear di traditional Jamaican bandana dress, and di uppity weh shi chat patwa wid pride, even when di stush people dem try tu put har dung inspire di yute dem tu walk wid pride in demself.",Jamaican Creole
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
 Shi a wi hero an wi luv har because “She wrote and spoke these poems and stories and she made us proud of our own traditions.,Jamaican Creole
Bon maten,Haitian Creole
Mas importante: Kiko eksaktamente nos ta skirbiendo ora nos ta hasiendo tur e skirbimentu aki? Mi no ta bai pretendé di inventá un término kompletamente nobo aki; ,Papiamento
Consensa,Cape Verdean Creole
Yama polis!,Papiamento
Bònn fèt pak,Haitian Creole
Yudami!,Papiamento
Kum ta?,Cape Verdean Creole
Patin bianda,Cape Verdean Creole
Wanem nem bilong yu?,Tok Pisin
Pase yon bònn jounen,Haitian Creole
Patin bianda,Cape Verdean Creole
A pi ta,Haitian Creole
"As a poet, comedian, folklorist, television and radio personality, singer and actor, di whole a Jamaica luv har like fambily and call har Miss Lou – not Louise Bennett-Coverley.",Jamaican Creole
Sa a bon.,Haitian Creole
"Skrebe-l, pur favor",Cape Verdean Creole
"Pur favor, papia digabar",Cape Verdean Creole
Kum ta?,Cape Verdean Creole
Se bato mwen ki flote sou dlo a ki te ranpli avèk èèl,Haitian Creole
Masha danki,Papiamento
"When shi come back a yaad, shi would teach di young people dem at UWI bout Jamaican folklore and drama. ",Jamaican Creole
papelnan ofisial mi a ripará ku el a nase na 1913.,Papiamento
Es ta bon.,Cape Verdean Creole
E meneer lo paga pa tur cos,Papiamento
"Papa Bubu, di Banda Bou, tabata manera un tawela pa mi i el a konta mi mashá kos di pasado. Su mayornan a kont'é di tempu di katibu. Hopi di loke ta skibí aki ta kosnan ku el a konta mi personalmente.",Papiamento
" (Ating Twain i bilip olsem wok bilong raitim pas, insait long wanpela gutpela wol, i nidim tu tingting gut. Tasol em i no bin yusim email.) Las wik mi painim mi yet i putim 4-pela konjunksen",Tok Pisin
"From har poetry tu har musical tu Ring Ding, Miss Lou’s wuk fi eva fulla Jamaican vibe and culcha. ",Jamaican Creole
mi laik go long Airport,Tok Pisin
Bòn chans,Haitian Creole
Erez anivèsè,Haitian Creole
inap yu kam wantaim mi?,Tok Pisin
Nha nomi e ...,Cape Verdean Creole
"After di ten plague dem, Pharaoh finally let di people dem go, but him change him mind and send him army after dem.",Jamaican Creole
Bòn chans,Haitian Creole
Mi nuh si dem.,Jamaican Creole
Ti manham,Cape Verdean Creole
Mwen renmen w,Haitian Creole
Fè mye talè,Haitian Creole
"Alla da Jamaican inna Canada bring patwa wid dem an talk it at home an at school an everywhere into di meltin pot., When Miss Lou said “Colonization in Reverse,” dis can also reffa to di patwa of fus an secon generation Jamaicans dat is di “Toronto slang” chat by all kinda people inna Toronto.",Jamaican Creole
Bonn fèt,Haitian Creole
"Strongim mipela long bihainim laik bilong yu long graun, olsem ol i bihainim long heven.",Tok Pisin
Modi bu sta?,Cape Verdean Creole
Pase yon bònn jounen,Haitian Creole
tabata katibu òf por lo ménos a biba den tempu di sklabitut!,Papiamento
Nhu ten ki bon.,Cape Verdean Creole
Yuh know how fi chat Patwah,Jamaican Creole
"When she says something like “mi glad fi see yuh bwoi”… “I’m happy to see you, boy” does not capture “Mi glad fi see yuh bwoi”.",Jamaican Creole
D'xá-m' s'segód'!,Cape Verdean Creole
"When shi duh dis, everybody laugh. Miss Lou show us what is di language and culcha of di people, an what is di colonized language. As mi mudda explain",Jamaican Creole
A fe mi cyar,Jamaican Creole
"Fram reggae tu dub poetry tu pride in a wi culcha, nationality, and dialek, whole eep a ting bout wi Jamaican culcha wi owe nuff respek to one oman.",Jamaican Creole
Mi hovercraft ta yen di conglá,Papiamento
kuida mata i kushiná kuminda krioyo.,Papiamento
" And so, if we could be proud of Miss Lou, then we could be proud of ourselves too.”",Jamaican Creole
 Di way how she tek pride inna wi culcha and chat di patwa mek di whole a wi feel good. Pon toppa dat she inspire a whole heap a Jamaican artists to buss out with boasiness.,Jamaican Creole
Bonswa,Haitian Creole
Consensa,Cape Verdean Creole
Boas Festas,Cape Verdean Creole
"Moses spend forty years leading di people dem through di wilderness, and even though him never reach di Promised Land himself, him set di foundation fi di Hebrew people dem fi years to come.",Jamaican Creole
Yuh know how fi chat Patwah,Jamaican Creole
Nha nomi e ...,Cape Verdean Creole
N bèlantre,Haitian Creole
"As oppose to di English of di Queen, Braithwaite seh “nation language” is like di English of di slaves dat was full a African speech riddims like Hausa, Yoruba, Igbo, or Twi.",Jamaican Creole
Bòn chans,Haitian Creole
Yama polis!,Papiamento
Mas importante: Kiko eksaktamente nos ta skirbiendo ora nos ta hasiendo tur e skirbimentu aki? Mi no ta bai pretendé di inventá un término kompletamente nobo aki; ,Papiamento
"Nos skirbimentu konstante a kuminsá sinti manera un paragraf digital sin fin. No un paragraf stret i hinkadó di The Sun Also Rises òf asta un paragraf grasioso, tin bia ta slip, tin bia ta bula di Absalom! Absalom!",Papiamento
Kuma ku bu nome?,Cape Verdean Creole
M'kontan fè konesans ou,Haitian Creole
Masha danki,Papiamento
Bai sipsip igo wantaim tu,Tok Pisin
Mwen pa komprann,Haitian Creole
"When you see Miss Lou pon TV, sometimes shi start tings off vibin wid di audience, getting dem tu sing along: ",Jamaican Creole
Ol i stap?,Tok Pisin
Un idioma nunka ta sufisiente,Papiamento
Bwaay! Mi did tink de test wudda eazy.,Jamaican Creole
Yu raun we,Tok Pisin
"“Come mek mi hol yuh han.” Di audience jump in, den shi cut dem off:",Jamaican Creole
Èske yo kwè gen lespwa pou yo?,Haitian Creole
Bon pasco di resureccion,Papiamento
"Di way shi use di patwa wid pride an bragadoshiousness an di tings in a it like immigration, status, uppitiness, stushness, and folk antics (like di Ashanti trickster spida “Anansi always in a har stories) set up tings fi dub poetry and reggae music fi buss out wid di people. ",Jamaican Creole
Nos ta bai.,Papiamento
No bodda bawl im soon cum bak,Jamaican Creole
N a wè pi ta,Haitian Creole
Ta fest ti koku,Cape Verdean Creole
" Mipela i bihainim tingting bilong yusim sotpela, moa gutpela tok na i no longpela na i no gat bikpela pe, laspela pilai bilong mipela em ",Tok Pisin
Porfabor Bo por bisami un biaha mas e mesun cos,Papiamento
D'xá-m' s'segód'!,Cape Verdean Creole
N´kré kumi cachupa,Cape Verdean Creole
Mwen sonje w,Haitian Creole
Boas Festas,Cape Verdean Creole
Bai sipsip igo wantaim tu,Tok Pisin
"Jamaicans at home and Black people all ova di worl ave to code switch, leave di language and dem tru vibe when dem seekin success.",Jamaican Creole
inap yu kam wantaim mi?,Tok Pisin
kuida mata i kushiná kuminda krioyo.,Papiamento
tempu ei. Espesialmente mi ke animá tur hende yòn pa lesa e buki aki ku un aktitut di siña nos historia sin laga rabia drenta boso kurason.,Papiamento
"Purba pone algun prosa riba pantaya, sinembargo, i nan ta meskla nan mes basta lihé. ",Papiamento
" Di colonizers put dung di patwa – dem neva like di patwa at all, an neva seet as respectable. ",Jamaican Creole
"Absalom! Absalom!, mi minim wanpela paragraf we i paul, i no stret, na i tantanim, samting olsem namba wan draf bilong Kerouac bilong On the Road - ol i bin pasim wantaim long ol 'bytes' tasol. Na 1 pesen em i gutpela.",Tok Pisin
" I think that is the root of the pride that we have in Miss Lou and in ourselves. We saw ourselves reflected in her, and in a way that was very dignified and uniquely Jamaican.",Jamaican Creole
"But Pharaoh say no, so Jah send down some big big plague dem fi force Pharaoh fi let di people dem go.",Jamaican Creole
" Pon toppa dat, shi study Jamaican folklore an den she learn more bout oral tradition, proverbs, and riddles dat shi big up in har work, chat bout.",Jamaican Creole
"One day, Moses see one of him Hebrew bredda dem get beaten by di Egyptian overseer, and him get so mad him end up killing di overseer.",Jamaican Creole
Nhu ten ki bon.,Cape Verdean Creole
Yu whosait?,Tok Pisin
Bon dia,Cape Verdean Creole
V byenvini,Haitian Creole
Ta fest ti koku,Cape Verdean Creole
Eske ou vle danse?,Haitian Creole
Consensa,Cape Verdean Creole
Rete,Haitian Creole
Dja N perde avion/konboiu,Cape Verdean Creole
"Nos skirbimentu konstante a kuminsá sinti manera un paragraf digital sin fin. No un paragraf stret i hinkadó di The Sun Also Rises òf asta un paragraf grasioso, tin bia ta slip, tin bia ta bula di Absalom! Absalom!",Papiamento
"One day, Moses see one of him Hebrew bredda dem get beaten by di Egyptian overseer, and him get so mad him end up killing di overseer.",Jamaican Creole
"Tout bagay sèk, tout bagay tris.",Haitian Creole
Dis a di best.,Jamaican Creole
Da-n lisensa,Cape Verdean Creole
N´kré kumi cachupa,Cape Verdean Creole
Yudami!,Papiamento
"Pa gen dlo menm menm. Plant ap mouri, bèt ap mouri.",Haitian Creole
Mwen pa komprann,Haitian Creole
A pi ta,Haitian Creole
Boas Festas,Cape Verdean Creole
Es ta bon.,Cape Verdean Creole
"Moses grow up inna di palace, but him always know say him a Hebrew",Jamaican Creole
Ti manham,Cape Verdean Creole
Yu raun we,Tok Pisin
mi laik go long Airport,Tok Pisin
Good frien’ betta dan packet money,Jamaican Creole
Sambai long mipela long taim bilong traim. ,Tok Pisin
Anchante,Haitian Creole
Bon dia,Cape Verdean Creole
Sa a bon.,Haitian Creole
Yuh know how fi chat Patwah,Jamaican Creole
Kote twalèt la?,Haitian Creole
Bilong me hangamapim bot stap pulap maleo,Tok Pisin
Dispela em i gut.,Tok Pisin
"So, one time long long ago, di Hebrew people dem did ah suffer inna Egypt under di Pharaoh. One day, a likkle baby boy named Moses born, but Pharaoh did want to kill all di baby boy dem, so Moses’ madda put him inna basket and float him down di river",Jamaican Creole
Patin bianda,Cape Verdean Creole
"Divès lyen ki konekte Ayiti ak Louisiana an tèm de kilti gastronomik, langaj, achitekti, relijyon, ak mizik pèsiste jodi a.",Haitian Creole
Bon pasco,Papiamento
Mwe kontan fe konesana ou,Haitian Creole
Bilong me hangamapim bot stap pulap maleo,Tok Pisin
"Skrebe-l, pur favor",Cape Verdean Creole
Un idioma nunka ta sufisiente,Papiamento
Da-n lisensa,Cape Verdean Creole
"Moses lead di Hebrew people dem to Mount Sinai, where Jah give him di Ten Commandments and all di laws dem fi live by",Jamaican Creole
" wanpela hap bilong wanpela 'cherry treat' we i gat soklet long en. Maski, dispela strateji i wok gut. Tim bilong mi i lus long 53 poin tasol na i no 58.",Tok Pisin
Li ap mache.,Haitian Creole
Bon dia,Cape Verdean Creole
Sante!,Haitian Creole
Bon dia,Cape Verdean Creole
 Quick quick shi gaan a foreign pon scholarship to di Royal Academy a Dramatic Art. ,Jamaican Creole
Ti manham,Cape Verdean Creole
Olá,Cape Verdean Creole
kuida mata i kushiná kuminda krioyo.,Papiamento
"Even doe dem caana wi an wi haffi use di Queen English fi step up ina life, Miss Lou bring pride an dignity to all a wi an mek wi luv wi culcha.",Jamaican Creole
"Even doe Miss Lou mek Jamaicans proud, mi mudda pine dat “patois can take you very far if you’re an artist, poet or musician, but it will not take you anywhere if you want to be a lawyer or politician ",Jamaican Creole
"Divès lyen ki konekte Ayiti ak Louisiana an tèm de kilti gastronomik, langaj, achitekti, relijyon, ak mizik pèsiste jodi a.",Haitian Creole
Ochan!,Haitian Creole
mi laikim planti plis,Tok Pisin
Dje serka ei sklabitut ta di nos? E buki aki ta skibí pa yuda nos komprondé nos historia di sklabitut mas mihó. ,Papiamento
Mwe kontan fe konesana ou,Haitian Creole
Dja N perde nhas amiga,Cape Verdean Creole
Sa fè lontan,Haitian Creole
Byen venu,Haitian Creole
Di way shi chat di patwa wid respectability mek har an expert til Bajan poet Kamau Braithwaite call it a “nation language.” ,Jamaican Creole
" Di colonizers put dung di patwa – dem neva like di patwa at all, an neva seet as respectable. ",Jamaican Creole
D'xá-m' s'segód'!,Cape Verdean Creole
Anmwe!,Haitian Creole
Bu sabi ki óra autokaru ta txiga?,Cape Verdean Creole
Ti manham,Cape Verdean Creole
Dis a di best.,Jamaican Creole
Ta fest ti koku,Cape Verdean Creole
Bo ta bini?,Papiamento
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
Nos ta bai.,Cape Verdean Creole
 Shi a wi hero an wi luv har because “She wrote and spoke these poems and stories and she made us proud of our own traditions.,Jamaican Creole
Pronto recuperacion,Papiamento
Meri i gat liklik sipsip,Tok Pisin
Ki non ou?,Haitian Creole
"Oh wate wate wate wate… You know dis ting a appen too offen yunnuh… somebody a seh “yOuR hAnD”. Its not your hand, its yuh han! Nuh pwoil up di culcha!”",Jamaican Creole
papelnan ofisial mi a ripará ku el a nase na 1913.,Papiamento
Meri i gat liklik sipsip,Tok Pisin
Yu whosait?,Tok Pisin
"Divès lyen ki konekte Ayiti ak Louisiana an tèm de kilti gastronomik, langaj, achitekti, relijyon, ak mizik pèsiste jodi a.",Haitian Creole
"Rait bilong mipela oltaim i stat long pilim olsem wanpela dijitel paragraf we i no inap pinis. I no wanpela tait, strongpela paragraf bilong The Sun Also Rises o wanpela naispela, sampela taim-slinking, sampela taim-soaring paragraf bilong",Tok Pisin
"Papa bilong mipela, yu stap long heven.",Tok Pisin
Modi bu sta?,Cape Verdean Creole
Na rausim olgeta samting nogut long mipela,Tok Pisin
em hamas?,Tok Pisin
N’ka persibi (or) N’ka intindi,Cape Verdean Creole
Mi a go bak a wuk pan Chewsday.,Jamaican Creole
Dja N perde avion/konboiu,Cape Verdean Creole
Mi hovercraft ta yen di conglá,Papiamento
Mi nuh si dem.,Jamaican Creole
Se youn plaisir fè konesans ou!,Haitian Creole
Ki non ou?,Haitian Creole
Rete,Haitian Creole
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
" I think that is the root of the pride that we have in Miss Lou and in ourselves. We saw ourselves reflected in her, and in a way that was very dignified and uniquely Jamaican.",Jamaican Creole
Consensa,Cape Verdean Creole
A pi ta,Haitian Creole
Danki,Papiamento
Yudami!,Papiamento
Mi ta gusta ku bo.,Papiamento
"Cuyah, she gwan lak she nice eee?",Jamaican Creole
Bwaay! Mi did tink de test wudda eazy.,Jamaican Creole
" Mi ta kere ainda ku e mihó ku nos por rekohé ta un análogo mas adekuá. I si nos mester haña un análogo den un unidat literario eksistente, mi ta proponé e paragraf. ",Papiamento
Yu whosait?,Tok Pisin
Mekim nem bilong yu i kamap bikpela.,Tok Pisin
"Pa gen dlo menm menm. Plant ap mouri, bèt ap mouri.",Haitian Creole
Nogat. Mi siutim koronas,Tok Pisin
mi laikim planti plis,Tok Pisin
Mwe kontan fe konesana ou,Haitian Creole
"Absalom! Absalom!, mi minim wanpela paragraf we i paul, i no stret, na i tantanim, samting olsem namba wan draf bilong Kerouac bilong On the Road - ol i bin pasim wantaim long ol 'bytes' tasol. Na 1 pesen em i gutpela.",Tok Pisin
Adye,Haitian Creole
Yu save?,Tok Pisin
" Mi ting yet olsem nambawan samting yumi ken bungim em i wanpela 'analog' we i stret moa. Na sapos yumi mas painim wanpela analog insait long wanpela 'literary unit' we i stap pinis, mi laik kamapim dispela paragraf. ",Tok Pisin
E ta bon.,Papiamento
Da-n lisensa,Cape Verdean Creole
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
Nem bilong mi,Tok Pisin
Dja N perde nhas amiga,Cape Verdean Creole
Bwaay! Mi did tink de test wudda eazy.,Jamaican Creole
"Koman ou rele?,Ki jan ou rele?",Haitian Creole
Bònn jounen,Haitian Creole
Algin li ta papia inglés?,Cape Verdean Creole
Suzanna Fransiska (Tanchi Chu) ta un di mi welanan ku a kuida mi hopi den mi bida. Dia ku el a bai sosegá i mi tabata atendiendo su,Papiamento
Nou pral ale.,Haitian Creole
Good frien’ betta dan packet money,Jamaican Creole
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
"Modi bu sta?, Kuma ku bu sta?",Cape Verdean Creole
"After di ten plague dem, Pharaoh finally let di people dem go, but him change him mind and send him army after dem.",Jamaican Creole
"Jah part di Red Sea fi di Hebrew people dem fi escape, and when di Egyptian army try fi follow dem, di sea come back togedda and wash dem away.",Jamaican Creole
Boas Festas,Cape Verdean Creole
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
Felisitasyon!,Haitian Creole
"Fram reggae tu dub poetry tu pride in a wi culcha, nationality, and dialek, whole eep a ting bout wi Jamaican culcha wi owe nuff respek to one oman.",Jamaican Creole
"As oppose to di English of di Queen, Braithwaite seh “nation language” is like di English of di slaves dat was full a African speech riddims like Hausa, Yoruba, Igbo, or Twi.",Jamaican Creole
Yu raun we,Tok Pisin
"From har poetry tu har musical tu Ring Ding, Miss Lou’s wuk fi eva fulla Jamaican vibe and culcha. ",Jamaican Creole
"Koman ou rele?,Ki jan ou rele?",Haitian Creole
Dja N perde avion/konboiu,Cape Verdean Creole
Sa a bon.,Haitian Creole
Ta fest ti koku,Cape Verdean Creole
Bon pasco di resureccion,Papiamento
Mi hovercraft ta yen di conglá,Papiamento
Nos ta bai.,Papiamento
"After di ten plague dem, Pharaoh finally let di people dem go, but him change him mind and send him army after dem.",Jamaican Creole
Moki bu tchoma?,Cape Verdean Creole
N’ka persibi (or) N’ka intindi,Cape Verdean Creole
Likkle bit from dat shi get a show call Ring Ding pon di TV. ,Jamaican Creole
Bikpela hamamas blong dispela Krismas go long yu Meri Krismas,Tok Pisin
"Nos no tin tempu pa papia, pues nos ta manda mensahe. Nos no tin tempu pa manda mensahe pa hende spesífiko, pues nos ta aktualisá nos status di Facebook. Nos no tin tempu pa skirbi ensayonan, pues nos ta blog.",Papiamento
Sapos Meri i go wokabaut,Tok Pisin
Tingim bagarap bai kamap sapos ol manmeri olsem Vladimir Putin bilong Rasia o Kim Jong-un bilong Not Korea i yusim dispela teknoloji long helpim ol kantri bilong ol long mekim bikpela wok bilong 'cyber-spionage'.,Tok Pisin
Pasin bilong ol 'catfisher' na 'dikteta' long paulim tingting bilong ol manmeri em i samting nogut tru. ,Tok Pisin
Ta fest ti koku,Cape Verdean Creole
Ki bagay yo te plante sou tè a?,Haitian Creole
Mwen renmen w,Haitian Creole
"Even doe dem caana wi an wi haffi use di Queen English fi step up ina life, Miss Lou bring pride an dignity to all a wi an mek wi luv wi culcha.",Jamaican Creole
Felis cumpleaño,Papiamento
Mi ta gusta ku bo.,Papiamento
Ki te'm anrepo'm!,Haitian Creole
Ki te'm anrepo'm!,Haitian Creole
"Devan yon ti kay pay gen de vye granmoun ki chita: yon nèg ki rele Byenneme, ak Delira, madanm li.",Haitian Creole
"Pitit gason nou an kite nou depi lontan, pou ale koupe kann nan peyi Kiba.",Haitian Creole
"When you see Miss Lou pon TV, sometimes shi start tings off vibin wid di audience, getting dem tu sing along: ",Jamaican Creole
Porfabor,Papiamento
"Purba pone algun prosa riba pantaya, sinembargo, i nan ta meskla nan mes basta lihé. ",Papiamento
D'xá-m' s'segód'!,Cape Verdean Creole
Sante!,Haitian Creole
Mi hovercraft ta yen di conglá,Papiamento
Ta un plaser di conocebo,Papiamento
Ki bagay yo te plante sou tè a?,Haitian Creole
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
Dja N perde nhas amiga,Cape Verdean Creole
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
Patin bianda,Cape Verdean Creole
Ol i stap?,Tok Pisin
"From har poetry tu har musical tu Ring Ding, Miss Lou’s wuk fi eva fulla Jamaican vibe and culcha. ",Jamaican Creole
Nha nomi e ...,Cape Verdean Creole
Dja N perde nhas amiga,Cape Verdean Creole
Ki non ou?,Haitian Creole
Dispela em i gut.,Tok Pisin
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
Balus em i no goupim bilong me em i pullup long liklik pela snek bilong solwarra,Tok Pisin
Dispela man bai i bekim pe long olgeta samting,Tok Pisin
" Mipela i bihainim tingting bilong yusim sotpela, moa gutpela tok na i no longpela na i no gat bikpela pe, laspela pilai bilong mipela em ",Tok Pisin
Dja N perde nhas amiga,Cape Verdean Creole
"As oppose to di English of di Queen, Braithwaite seh “nation language” is like di English of di slaves dat was full a African speech riddims like Hausa, Yoruba, Igbo, or Twi.",Jamaican Creole
"Moses spend forty years leading di people dem through di wilderness, and even though him never reach di Promised Land himself, him set di foundation fi di Hebrew people dem fi years to come.",Jamaican Creole
Giras bilong en i waitpela tru,Tok Pisin
Ki bagay yo te plante sou tè a?,Haitian Creole
Balus em i no goupim bilong me em i pullup long liklik pela snek bilong solwarra,Tok Pisin
The parson sey de marriage cerfitikit soon cum inna de mail.,Jamaican Creole
"Pitit gason nou an kite nou depi lontan, pou ale koupe kann nan peyi Kiba.",Haitian Creole
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
Pronto recuperacion,Papiamento
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
"I no long taim i go pinis, mi luksave olsem ol sentens bilong mi i save go het taim mi raitim ol long skrin. Dispela i go long raitim planti samting na tu long raitim ol pas.",Tok Pisin
E meneer lo paga pa tur cos,Papiamento
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
Rete,Haitian Creole
"plis, inap ya halivim mi wantaim dispela samting?",Tok Pisin
"Jamaicans at home and Black people all ova di worl ave to code switch, leave di language and dem tru vibe when dem seekin success.",Jamaican Creole
Axe har de question.,Jamaican Creole
"Nos no tin tempu pa papia, pues nos ta manda mensahe. Nos no tin tempu pa manda mensahe pa hende spesífiko, pues nos ta aktualisá nos status di Facebook. Nos no tin tempu pa skirbi ensayonan, pues nos ta blog.",Papiamento
"plis, inap ya halivim mi wantaim dispela samting?",Tok Pisin
Ta un plaser di conocebo,Papiamento
Kiko ta pasa?,Papiamento
Ta fest ti koku,Cape Verdean Creole
Algin li ta papia inglés?,Cape Verdean Creole
"But Pharaoh say no, so Jah send down some big big plague dem fi force Pharaoh fi let di people dem go.",Jamaican Creole
Sila Kelie (Mai Sila) a kria mi hopi aña i e buki aki ta dediká,Papiamento
V byenvini,Haitian Creole
"Modi bu sta?, Kuma ku bu sta?",Cape Verdean Creole
Es ta bon.,Cape Verdean Creole
"But Pharaoh say no, so Jah send down some big big plague dem fi force Pharaoh fi let di people dem go.",Jamaican Creole
"From har poetry tu har musical tu Ring Ding, Miss Lou’s wuk fi eva fulla Jamaican vibe and culcha. ",Jamaican Creole
em hamas?,Tok Pisin
Nos ta bai.,Cape Verdean Creole
"Nos no tin tempu pa papia, pues nos ta manda mensahe. Nos no tin tempu pa manda mensahe pa hende spesífiko, pues nos ta aktualisá nos status di Facebook. Nos no tin tempu pa skirbi ensayonan, pues nos ta blog.",Papiamento
Porfabor Bo por bisami un biaha mas e mesun cos,Papiamento
Ti manham,Cape Verdean Creole
Chobble nuh nice.” “Yuh inna big chobble.,Jamaican Creole
Mi hovercraft ta yen di conglá,Papiamento
Bònn jounen,Haitian Creole
"As oppose to di English of di Queen, Braithwaite seh “nation language” is like di English of di slaves dat was full a African speech riddims like Hausa, Yoruba, Igbo, or Twi.",Jamaican Creole
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
"Nos no tin tempu pa papia, pues nos ta manda mensahe. Nos no tin tempu pa manda mensahe pa hende spesífiko, pues nos ta aktualisá nos status di Facebook. Nos no tin tempu pa skirbi ensayonan, pues nos ta blog.",Papiamento
"Moses spend forty years leading di people dem through di wilderness, and even though him never reach di Promised Land himself, him set di foundation fi di Hebrew people dem fi years to come.",Jamaican Creole
"Papa bilong mipela, yu stap long heven.",Tok Pisin
Algin li ta papia inglés?,Cape Verdean Creole
Mi a go bak a wuk pan Chewsday.,Jamaican Creole
Mi likim yu.,Tok Pisin
"Rait bilong mipela oltaim i stat long pilim olsem wanpela dijitel paragraf we i no inap pinis. I no wanpela tait, strongpela paragraf bilong The Sun Also Rises o wanpela naispela, sampela taim-slinking, sampela taim-soaring paragraf bilong",Tok Pisin
Mobeta long ritim olsem Hemingway nogut winim Faulkner nogut.,Tok Pisin
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
Modi bu sta?,Cape Verdean Creole
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
Kuma ku bu nome?,Cape Verdean Creole
"Papa Bubu, di Banda Bou, tabata manera un tawela pa mi i el a konta mi mashá kos di pasado. Su mayornan a kont'é di tempu di katibu. Hopi di loke ta skibí aki ta kosnan ku el a konta mi personalmente.",Papiamento
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
Nou pral ale.,Haitian Creole
"But Pharaoh say no, so Jah send down some big big plague dem fi force Pharaoh fi let di people dem go.",Jamaican Creole
Balus em i no goupim bilong me em i pullup long liklik pela snek bilong solwarra,Tok Pisin
Dis was a time when everybody si success an steppin up inna life as talkin like di Queen of England. Miss Lou dared to big up all tings Jamaican.,Jamaican Creole
Dja N perde avion/konboiu,Cape Verdean Creole
"Skrebe-l, pur favor",Cape Verdean Creole
Bai sipsip igo wantaim tu,Tok Pisin
N’ka persibi (or) N’ka intindi,Cape Verdean Creole
"Pur favor, papia digabar",Cape Verdean Creole
A fe mi cyar,Jamaican Creole
